subject,run,edf,event,is_mi,mi_kind
3,3,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S003\S003R03.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S003\S003R03.edf.event,False,
3,4,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S003\S003R04.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S003\S003R04.edf.event,True,LR
3,5,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S003\S003R05.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S003\S003R05.edf.event,False,
3,6,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S003\S003R06.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S003\S003R06.edf.event,True,OF
3,7,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S003\S003R07.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S003\S003R07.edf.event,False,
3,8,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S003\S003R08.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S003\S003R08.edf.event,True,LR
3,9,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S003\S003R09.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S003\S003R09.edf.event,False,
3,10,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S003\S003R10.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S003\S003R10.edf.event,True,OF
3,11,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S003\S003R11.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S003\S003R11.edf.event,False,
3,12,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S003\S003R12.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S003\S003R12.edf.event,True,LR
3,13,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S003\S003R13.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S003\S003R13.edf.event,False,
3,14,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S003\S003R14.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S003\S003R14.edf.event,True,OF
4,1,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S004\S004R01.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S004\S004R01.edf.event,False,
4,2,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S004\S004R02.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S004\S004R02.edf.event,False,
4,3,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S004\S004R03.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S004\S004R03.edf.event,False,
4,4,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S004\S004R04.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S004\S004R04.edf.event,True,LR
4,5,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S004\S004R05.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S004\S004R05.edf.event,False,
4,6,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S004\S004R06.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S004\S004R06.edf.event,True,OF
4,7,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S004\S004R07.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S004\S004R07.edf.event,False,
4,8,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S004\S004R08.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S004\S004R08.edf.event,True,LR
4,9,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S004\S004R09.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S004\S004R09.edf.event,False,
4,10,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S004\S004R10.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S004\S004R10.edf.event,True,OF
4,11,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S004\S004R11.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S004\S004R11.edf.event,False,
4,12,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S004\S004R12.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S004\S004R12.edf.event,True,LR
4,13,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S004\S004R13.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S004\S004R13.edf.event,False,
4,14,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S004\S004R14.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S004\S004R14.edf.event,True,OF
5,1,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S005\S005R01.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S005\S005R01.edf.event,False,
5,2,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S005\S005R02.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S005\S005R02.edf.event,False,
5,3,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S005\S005R03.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S005\S005R03.edf.event,False,
5,4,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S005\S005R04.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S005\S005R04.edf.event,True,LR
5,5,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S005\S005R05.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S005\S005R05.edf.event,False,
5,6,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S005\S005R06.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S005\S005R06.edf.event,True,OF
5,7,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S005\S005R07.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S005\S005R07.edf.event,False,
5,8,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S005\S005R08.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S005\S005R08.edf.event,True,LR
5,9,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S005\S005R09.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S005\S005R09.edf.event,False,
5,10,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S005\S005R10.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S005\S005R10.edf.event,True,OF
5,11,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S005\S005R11.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S005\S005R11.edf.event,False,
5,12,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S005\S005R12.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S005\S005R12.edf.event,True,LR
5,13,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S005\S005R13.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S005\S005R13.edf.event,False,
5,14,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S005\S005R14.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S005\S005R14.edf.event,True,OF
6,1,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S006\S006R01.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S006\S006R01.edf.event,False,
6,2,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S006\S006R02.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S006\S006R02.edf.event,False,
6,3,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S006\S006R03.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S006\S006R03.edf.event,False,
6,4,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S006\S006R04.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S006\S006R04.edf.event,True,LR
6,5,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S006\S006R05.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S006\S006R05.edf.event,False,
6,6,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S006\S006R06.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S006\S006R06.edf.event,True,OF
6,7,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S006\S006R07.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S006\S006R07.edf.event,False,
6,8,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S006\S006R08.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S006\S006R08.edf.event,True,LR
6,9,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S006\S006R09.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S006\S006R09.edf.event,False,
6,10,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S006\S006R10.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S006\S006R10.edf.event,True,OF
6,11,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S006\S006R11.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S006\S006R11.edf.event,False,
6,12,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S006\S006R12.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S006\S006R12.edf.event,True,LR
6,13,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S006\S006R13.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S006\S006R13.edf.event,False,
6,14,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S006\S006R14.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S006\S006R14.edf.event,True,OF
7,1,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S007\S007R01.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S007\S007R01.edf.event,False,
7,2,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S007\S007R02.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S007\S007R02.edf.event,False,
7,3,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S007\S007R03.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S007\S007R03.edf.event,False,
7,4,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S007\S007R04.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S007\S007R04.edf.event,True,LR
7,5,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S007\S007R05.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S007\S007R05.edf.event,False,
7,6,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S007\S007R06.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S007\S007R06.edf.event,True,OF
7,7,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S007\S007R07.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S007\S007R07.edf.event,False,
7,8,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S007\S007R08.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S007\S007R08.edf.event,True,LR
7,9,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S007\S007R09.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S007\S007R09.edf.event,False,
7,10,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S007\S007R10.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S007\S007R10.edf.event,True,OF
7,11,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S007\S007R11.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S007\S007R11.edf.event,False,
7,12,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S007\S007R12.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S007\S007R12.edf.event,True,LR
7,13,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S007\S007R13.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S007\S007R13.edf.event,False,
7,14,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S007\S007R14.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S007\S007R14.edf.event,True,OF
8,1,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S008\S008R01.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S008\S008R01.edf.event,False,
8,2,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S008\S008R02.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S008\S008R02.edf.event,False,
8,3,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S008\S008R03.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S008\S008R03.edf.event,False,
8,4,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S008\S008R04.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S008\S008R04.edf.event,True,LR
8,5,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S008\S008R05.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S008\S008R05.edf.event,False,
8,6,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S008\S008R06.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S008\S008R06.edf.event,True,OF
8,7,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S008\S008R07.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S008\S008R07.edf.event,False,
8,8,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S008\S008R08.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S008\S008R08.edf.event,True,LR
8,9,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S008\S008R09.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S008\S008R09.edf.event,False,
8,10,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S008\S008R10.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S008\S008R10.edf.event,True,OF
8,11,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S008\S008R11.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S008\S008R11.edf.event,False,
8,12,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S008\S008R12.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S008\S008R12.edf.event,True,LR
8,13,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S008\S008R13.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S008\S008R13.edf.event,False,
8,14,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S008\S008R14.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S008\S008R14.edf.event,True,OF
9,1,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S009\S009R01.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S009\S009R01.edf.event,False,
9,2,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S009\S009R02.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S009\S009R02.edf.event,False,
9,3,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S009\S009R03.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S009\S009R03.edf.event,False,
9,4,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S009\S009R04.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S009\S009R04.edf.event,True,LR
9,5,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S009\S009R05.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S009\S009R05.edf.event,False,
9,6,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S009\S009R06.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S009\S009R06.edf.event,True,OF
9,7,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S009\S009R07.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S009\S009R07.edf.event,False,
9,8,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S009\S009R08.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S009\S009R08.edf.event,True,LR
9,9,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S009\S009R09.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S009\S009R09.edf.event,False,
9,10,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S009\S009R10.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S009\S009R10.edf.event,True,OF
9,11,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S009\S009R11.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S009\S009R11.edf.event,False,
9,12,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S009\S009R12.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S009\S009R12.edf.event,True,LR
9,13,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S009\S009R13.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S009\S009R13.edf.event,False,
9,14,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S009\S009R14.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S009\S009R14.edf.event,True,OF
10,1,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S010\S010R01.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S010\S010R01.edf.event,False,
10,2,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S010\S010R02.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S010\S010R02.edf.event,False,
10,3,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S010\S010R03.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S010\S010R03.edf.event,False,
10,4,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S010\S010R04.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S010\S010R04.edf.event,True,LR
10,5,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S010\S010R05.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S010\S010R05.edf.event,False,
10,6,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S010\S010R06.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S010\S010R06.edf.event,True,OF
10,7,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S010\S010R07.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S010\S010R07.edf.event,False,
10,8,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S010\S010R08.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S010\S010R08.edf.event,True,LR
10,9,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S010\S010R09.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S010\S010R09.edf.event,False,
10,10,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S010\S010R10.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S010\S010R10.edf.event,True,OF
10,11,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S010\S010R11.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S010\S010R11.edf.event,False,
10,12,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S010\S010R12.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S010\S010R12.edf.event,True,LR
10,13,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S010\S010R13.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S010\S010R13.edf.event,False,
10,14,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S010\S010R14.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S010\S010R14.edf.event,True,OF
11,1,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S011\S011R01.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S011\S011R01.edf.event,False,
11,2,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S011\S011R02.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S011\S011R02.edf.event,False,
11,3,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S011\S011R03.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S011\S011R03.edf.event,False,
11,4,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S011\S011R04.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S011\S011R04.edf.event,True,LR
11,5,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S011\S011R05.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S011\S011R05.edf.event,False,
11,6,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S011\S011R06.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S011\S011R06.edf.event,True,OF
11,7,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S011\S011R07.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S011\S011R07.edf.event,False,
11,8,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S011\S011R08.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S011\S011R08.edf.event,True,LR
11,9,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S011\S011R09.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S011\S011R09.edf.event,False,
11,10,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S011\S011R10.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S011\S011R10.edf.event,True,OF
11,11,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S011\S011R11.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S011\S011R11.edf.event,False,
